# 3D-Front 布局家具清单（每行一个家具，并标注与 furniture_library.json 的匹配结果）
# 列含义：
#   列1 序号(index)                 - 家具在布局文件中的出现顺序编号（从 0001 起）
#   列2 jid                         - 家具实例的唯一标识符，用于和 furniture_library.json 的 id 比对
#   列3 category                    - 布局文件中该家具的类别名称，缺失记为 (missing)
#   列4 sourceCategoryId            - 家具的来源分类 id，缺失记为 (missing)
#   列5 jid匹配library              - 该 jid 是否出现在 furniture_library.json 的 id 中：是 / 否 / (缺失)
#   列6 sourceCategoryId匹配library - 该 sourceCategoryId 是否出现在 id 中：是 / 否 / (缺失)
# 数据行以制表符(TAB)分隔
序号(index)	jid	category	sourceCategoryId	jid匹配library	sourceCategoryId匹配library
0001	649b47a1-6a62-4b39-8fc7-5a92c9932a65	Cabinet/Shelf/Desk	14d0d6c8-6857-4bbf-8c4a-26bf6c25c968	是	否
0002	83aefbbf-4461-40a6-b73a-79a93b4fbd4b	Cabinet/Shelf/Desk	1462419b-2462-4632-aaaa-246285c9c07f	是	否
0003	6fab9863-0ce3-4060-ba2f-d36d4b9c8336	(missing)	2374eec6-a564-4f13-ba49-df54fe5b01f5	是	否
0004	e9b6f54f-1d29-47bf-ba38-db51856d3aa5	(missing)	5c76d84c-aa8c-4bb8-88fc-cbf8da81be71	是	否
0005	897afa9a-fde4-47d2-8433-ce10a17c28cc	(missing)	c352426b-2cfd-4855-a75a-50014e437832	是	否
0006	b33deb5a-4a01-4e2b-be82-3f4a5ea98fac	(missing)	f2c08afc-68c8-42a7-b62c-1b648f87edba	是	否
0007	2913731c-740b-4f22-adb2-c94660c4189e	(missing)	0b71b677-e56e-4f5e-8e71-e675ea9a786b	是	否
0008	92ce4988-7ee2-43ae-bbf0-14ca93b8aceb	Bed	41ac92b5-5f88-46d0-a59a-e1ed31739154	是	否
0009	161c86f3-1eaa-40e3-b412-900bc71d85ee	(missing)	(missing)	否	(缺失)
0010	9224d7eb-a94a-477e-89b7-533a0be2811a	(missing)	(missing)	否	(缺失)
0011	5bd318ea-b209-470b-9e89-7bf2b0b0ca51	(missing)	(missing)	否	(缺失)
0012	2dc7f4b9-ebb8-427e-aaf9-04d01e1013c6	(missing)	(missing)	否	(缺失)
0013	2267c0f1-f1fa-424d-b395-01bfb2b647cf	(missing)	(missing)	是	(缺失)
0014	451a351d-51e4-48a3-805c-4df275065c13	(missing)	(missing)	否	(缺失)
0015	9e37973c-40af-4024-bec6-a98fef90a71b	(missing)	(missing)	否	(缺失)
0016	9e7fbfec-0bd9-491a-81d2-5efc86a3ea12	(missing)	(missing)	否	(缺失)
0017	b7aea8e4-71e5-427a-a227-1ffb2ea3bb51	(missing)	(missing)	否	(缺失)
0018	0a58a1ae-1c7e-4be1-99e8-1dd4145ea5a7	(missing)	(missing)	否	(缺失)
0019	e138c422-8a16-44fe-94c8-9fea2f9c90bc	(missing)	(missing)	否	(缺失)
0020	48ce3e40-6929-41d4-9c35-f1ae947787f4	(missing)	(missing)	否	(缺失)
0021	2f503840-b30d-45f9-955c-4ea50c1700b9	(missing)	(missing)	否	(缺失)
0022	cc149cf1-c760-4e65-9321-f54206ced526	(missing)	(missing)	是	(缺失)
0023	14b84499-0336-480f-a4be-368b84198125	(missing)	(missing)	否	(缺失)
0024	44d9adc2-ed75-469d-b740-1937b2ccd14f	(missing)	(missing)	否	(缺失)
